Year,Aruba,Africa Eastern and Southern,Afghanistan,Africa Western and Central,Angola,Albania,Andorra,Arab World,United Arab Emirates,Argentina,Armenia,American Samoa,Antigua and Barbuda,Australia,Austria,Azerbaijan,Burundi,Belgium,Benin,Burkina Faso,Bangladesh,Bulgaria,Bahrain,"Bahamas, The",Bosnia and Herzegovina,Belarus,Belize,Bermuda,Bolivia,Brazil,Barbados,Brunei Darussalam,Bhutan,Botswana,Central African Republic,Canada,Central Europe and the Baltics,Switzerland,Channel Islands,Chile,China,Cote d'Ivoire,Cameroon,"Congo, Dem. Rep.","Congo, Rep.",Colombia,Comoros,Cabo Verde,Costa Rica,Caribbean small states,Cuba,Curacao,Cayman Islands,Cyprus,Czech Republic,Germany,Djibouti,Dominica,Denmark,Dominican Republic,Algeria,East Asia & Pacific (excluding high income),Early-demographic dividend,East Asia & Pacific,Europe & Central Asia (excluding high income),Europe & Central Asia,Ecuador,"Egypt, Arab Rep.",Euro area,Eritrea,Spain,Estonia,Ethiopia,European Union,Fragile and conflict affected situations,Finland,Fiji,France,Faroe Islands,"Micronesia, Fed. Sts.",Gabon,United Kingdom,Georgia,Ghana,Gibraltar,Guinea,"Gambia, The",Guinea-Bissau,Equatorial Guinea,Greece,Grenada,Greenland,Guatemala,Guam,Guyana,High income,"Hong Kong SAR, China",Honduras,Heavily indebted poor countries (HIPC),Croatia,Haiti,Hungary,IBRD only,IDA & IBRD total,IDA total,IDA blend,Indonesia,IDA only,Isle of Man,India,Not classified,Ireland,"Iran, Islamic Rep.",Iraq,Iceland,Israel,Italy,Jamaica,Jordan,Japan,Kazakhstan,Kenya,Kyrgyz Republic,Cambodia,Kiribati,St. Kitts and Nevis,"Korea, Rep.",Kuwait,Latin America & Caribbean (excluding high income),Lao PDR,Lebanon,Liberia,Libya,St. Lucia,Latin America & Caribbean,Least developed countries: UN classification,Low income,Liechtenstein,Sri Lanka,Lower middle income,Low & middle income,Lesotho,Late-demographic dividend,Lithuania,Luxembourg,Latvia,"Macao SAR, China",St. Martin (French part),Morocco,Monaco,Moldova,Madagascar,Maldives,Middle East & North Africa,Mexico,Marshall Islands,Middle income,North Macedonia,Mali,Malta,Myanmar,Middle East & North Africa (excluding high income),Montenegro,Mongolia,Northern Mariana Islands,Mozambique,Mauritania,Mauritius,Malawi,Malaysia,North America,Namibia,New Caledonia,Niger,Nigeria,Nicaragua,Netherlands,Norway,Nepal,Nauru,New Zealand,OECD members,Oman,Other small states,Pakistan,Panama,Peru,Philippines,Palau,Papua New Guinea,Poland,Pre-demographic dividend,Puerto Rico,"Korea, Dem. People's Rep.",Portugal,Paraguay,West Bank and Gaza,Pacific island small states,Post-demographic dividend,French Polynesia,Qatar,Romania,Russian Federation,Rwanda,South Asia,Saudi Arabia,Sudan,Senegal,Singapore,Solomon Islands,Sierra Leone,El Salvador,San Marino,Somalia,Serbia,Sub-Saharan Africa (excluding high income),South Sudan,Sub-Saharan Africa,Small states,Sao Tome and Principe,Suriname,Slovak Republic,Slovenia,Sweden,Eswatini,Sint Maarten (Dutch part),Seychelles,Syrian Arab Republic,Turks and Caicos Islands,Chad,East Asia & Pacific (IDA & IBRD countries),Europe & Central Asia (IDA & IBRD countries),Togo,Thailand,Tajikistan,Turkmenistan,Latin America & the Caribbean (IDA & IBRD countries),Timor-Leste,Middle East & North Africa (IDA & IBRD countries),Tonga,South Asia (IDA & IBRD),Sub-Saharan Africa (IDA & IBRD countries),Trinidad and Tobago,Tunisia,Turkey,Tuvalu,Tanzania,Uganda,Ukraine,Upper middle income,Uruguay,United States,Uzbekistan,St. Vincent and the Grenadines,"Venezuela, RB",British Virgin Islands,Virgin Islands (U.S.),Vietnam,Vanuatu,World,Samoa,Kosovo,"Yemen, Rep.",South Africa,Zambia,Zimbabwe
1960,,19342484576,537777811.1,10407321640,,,,,,,,,,18577668272,6592693841,,195999990,11658722591,226195579.4,330442817.2,4274893913,,,169803921.6,,,28071888.56,84466654.08,373879363.6,15165569913,,,,30412308.99,112155598.9,40461721693,,9522746719,,4110000000,59716467625,546203561.6,614206071,3359404118,131731862.6,4031152977,,,507513830,1880306125,,,,,,,,,,672399700,2723593385,80176748539,154718824692,153305087589,,,2069465326,,244822539134,,12072126075,,,,,5224102196,112328422.1,62225478001,,,141468978.4,73233967692,,1217230038,,,,,,4335186017,,,1043599900,,170215248.2,1065895150288,1320796652,335650000,17413068781,,273187200,,315973597831,351664181406,36135712199,12063675731,,24707636432,,37029883875,,1939329775,4199134390,,248434097,2598500000,40385288344,699050679,,44307342950,,791265458.8,,637142865.7,,12366563.61,3958190759,,65620808166,,,,,,81638028984,,,,1409873950,88920589041,333810987503,34579308.41,181720032485,,703925705.9,,,,2037150716,,,673081724.1,,,13040000000,,322125506385,,,,,,,,,,,,162956740.9,1916241997,583846188347,,,449526872.6,4196092258,223854666.7,12276734172,5163271598,508334414,,5485854792,1080897128316,,,3749265015,537147100,2571908062,6684568805,,230496033,,20976345881,1691900000,,3193200404,,,,1046320160511,,,,,119000024,47170699607,,1307333333,1003692375,704756304.7,,322009471.6,,,180459936.8,,29275395155,,29286767197,,,99650000,,,15822585034,35076158.48,,12012012.01,857704431.7,,313582729.4,80063316657,,121128073.1,2760747472,,,76704221426,,,,47170699607,29286767197,535670127.7,,13995067818,,,423008385.7,,237934419358,1242289239,543300000000,,13066557.78,7779090909,,,,,1383415492120,,,,7575396973,713000000,1052990400
1961,,19753490586,548888895.6,11131302981,,,,,,,,,,19652816665,7311749633,,202999992,12400145222,235668222.4,350247237.1,4817580184,,,190098039.2,,,29964370.71,89249986.7,406684585.7,15236854859,,,,32902336.64,123134584.5,40934952064,,10712712465,,4609727273,50056868958,618245639.2,652777613.6,3086746857,151675739.2,4540447761,,,490325181.6,2038301741,,,,,,,,,,654100200,2434727330,70381284583,155454485864,153752989937,,,1753850417,,268953736576,,13834300571,,,,,5921659485,116987784.9,67461644222,,,167637908.5,77741965703,,1302674264,,,,,,4961400439,,,1076699900,,185848451.3,1128262728905,1383681651,356200000,17864141658,,271066000,,301198959536,340113502655,38157466904,12910219880,,25895006748,,39232435784,,2088012282,4426949095,,253885656.3,3138500000,44842760293,748028839.4,,53508617739,,792959472.1,,642857134.3,,12483229.31,2417558289,,68624073522,,,,,,86436080980,,,,1444327731,94061080940,320143736046,35699286.01,167803011125,,704145671.4,,,,2025689537,,,699161943.9,,,14160000000,,308137575553,,,,,,,,,,159213140,,174576508.5,1901868548,604324202051,,,485785234.9,4467200336,240524723.4,13493833740,5632460937,531959561.6,,5670064168,1136614024551,,,4118647627,599026300,2899654840,7256966966,,244832035,,21572323515,1865100000,,3417516639,,,,1106284293224,,,,,122000016,50331770781,,1419333333,1058975266,764634783.7,,327834680.6,,,191659914.4,,30419698996,,30430528444,,,107700000,,,17212686615,43025199.5,,11592011.59,945244992.2,,333975338.8,70281711056,,126396469.7,3034043574,,,81096175117,,,,50331770781,30430528444,584961208.7,,7988888889,,,441524109,,213309686105,1547388781,563300000000,,13999883.33,8189090909,,,,,1439080712715,,,,7972996814,696285714.3,1096646600
1962,,21526615650,546666677.8,11946843969,,,,,,24450604878,,,,19892485161,7756110210,,213500006,13264015675,236434906.8,379567023.3,5081413340,,,212254902,,,31856922.86,94149985.97,444665186.4,19926293839,,,,35643207.63,124482748.9,42227447632,,11879982759,,5416272727,47209359006,645284344.7,694247725.5,3779841429,166521239.9,4955543963,,,479180824.3,2153895648,,,,,,,,,,824100000,2001428328,64494446886,160645590110,157316233451,,,1518208221,,298806330619,,16138545209,,,,,6340580854,122906435,75607529810,,,182796536.5,81247564157,,1382515590,,,,,9122751.453,5213047711,,,1143600000,,194948375.4,1217926501902,1612346412,387750000,19442123671,,281896800,,313641680977,356025294545,41139884118,13806111070,,28046609746,,42161481859,,2260349684,4693566416,1954634836,284916516.2,2510000000,50383891899,777712445.8,,60723018684,,868111400,,660000008.6,,12541562.15,2814318517,,79174794692,,,,,,98871069647,,,,1434156379,95978572098,333446009587,41859162.82,176048227331,,741509480.8,,,,2379606422,,,739286906.9,,,15200000000,,319694266053,,,,,,,,,,164271590.8,,183116337.7,2001502679,647421597618,,,531736492.9,4909302954,265291588.7,14647057370,6066976683,574091101.2,,6077496268,1226878738545,,,4310163797,652120900,3286773188,4399827768,,261184037.4,,23615139432,2094400000,,3668222358,,,,1194504954665,,,,,125000008,53721519494,,1541666667,1085475573,826244610,,342721579.8,,,203531927.5,,32957998124,,32969822503,,,116150000,,,18667251380,45927061.46,,12642026.57,1110565864,,357635713.9,64403201897,,132237441.6,3308912797,,,92824010529,,,,53721519494,32969822503,619319197.3,,8922222222,,,449012578.6,,223871699063,1710004407,605100000000,,14524878.96,8946969697,,,,,1544343126490,,,,8497996604,693142857.1,1117601600
1963,,25772356399,751111191.1,12680220415,,,,,,18272123664,,,,21507447643,8374175258,,232749998,14260017387,253927646.5,394040588.3,5319458351,,,237745098,,,33749405.01,96366652.3,478805990.1,23021477292,,,,38091150.57,129379097.9,45029988561,,13063643796,,5668187500,50706799903,761047045.8,718320701.4,6213185743,172233430.9,4836166667,,,511902136.8,2290313588,,,,,,,,,,940799900,2702960118,69838534496,170331566435,175548893792,,,1824344492,,335327467030,,19074913948,,,,,6885920329,129454728.6,84759195106,,,154480244.2,86561961812,,1540797517,,,,,10840095.13,5895278024,,,1262800000,,175756868.7,1311983258603,1935298266,410200000,23457171885,,294883400,,334936683087,382968444749,46268006583,14611953714,,32574557447,,48421923459,,2430843768,4928628018,1978437693,340061650.1,2992333333,57710743060,826690466.2,,69498131797,,926589348.6,,728571437.1,,12833226.39,3988784572,,78810137064,,,,,,99782986906,,,,1240672269,106797935822,359124208050,47039059.22,190804972271,,791140595.8,,,,2657247327,,,759345863,,,16960000000,,341273686639,,,,,,,,,,168186331.3,,190816183.7,2510126748,683726355214,,,586294761.5,5165489010,292916241.1,15891241386,6510239503,496947904.4,,6638937283,1322417486978,,,4630827383,722784500,3600957771,4875309866,,275968039.5,,27521201577,2333600000,,3905734460,,,,1286698562130,,,,,128000000,60426255395,,1568333333,1122139637,917614007.6,,348546952.1,,,216145935.9,,37759859700,,37772788206,,,125950000,,,20204870630,54128377.43,,13923029.26,1200447429,,371767002.7,69739728837,,143255784.5,3540403457,,,93433637677,,,,60426255395,37772788206,678235373,,10355555556,,,516147798.7,,233328403223,1539681491,638600000000,,13708219.1,9753333333,,,,,1663682558252,,,,9423396235,718714285.7,1159511700
1964,,23563232195,800000044.4,13842621612,,,,,,25605249382,,,,23764139321,9169983886,,260750008,15960106681,269818988.3,410321618.2,5386054619,,,266666666.7,,,36193826.12,107566650.6,539491477.3,21211892260,,,,41613969.05,142025069.5,49377522897,,14480556572,,5982347826,59708343489,921063266.4,776650126.2,2881545273,185693724.8,5973366667,,,542578367.2,2470264540,,,,,,,,,,1025599900,2909292864,80970669763,195518397807,201692888827,,,2244146868,,373008247777,,21343844644,,,,,7766655086,140032741.5,94007851047,,,215679855.3,94407558351,,1731296119,,,,,12712471.4,6669673257,,,1299099900,,194773376.9,1432067137613,2206466461,457000000,20955545830,,325281200,,379872173755,425918976420,45371644292,15945561034,,30120423992,,56480289941,,2766608946,5379845648,2340521143,434267936.9,3405333333,63175417019,897931401.4,,81749006382,,998759333.6,,782857128.6,,13416554.86,3458939358,,90906169855,,,,,,111196571023,,,,1309747899,120295398618,403393292366,51938961.22,210484683632,,903158753.9,,,,2798339769,,,802482182.9,,,20080000000,,389730745046,,,,,,,,,,224495789.3,,194736105.3,2674441396,735285089547,,,582816358.3,5552822484,341973758.9,18699380731,7159202706,496098775.3,,7274144351,1445332454525,,,5204955901,776137500,4356913870,5271404668,,305312043.7,,25637368541,2570500000,,4235608178,,,,1403808629609,,,,,129999994,69179494304,,1611333333,1188930568,894159153.3,,371848114.7,,,229529912.7,,36876194579,,36890801254,,,134400000,,,22532416750,64979280.41,,15393032.35,1339494290,,392247517.6,80856114663,,166104067.6,3889129942,,,104149617265,,,,69179494304,36890801254,711893367.6,,11177777778,,,589056603.8,,268629555470,1975701816,685800000000,,14758210.35,8099318182,,,,,1822519774866,,,,10373995855,839428571.4,1217138000
1965,,26851350246,1006666638,14866816737,,,,,,28344705967,,,,25936835032,9994070616,,158994963,17371457608,289908720.6,422916848.4,5906636557,,,300392156.9,,,40069930.07,114339049,604377104.4,21790035117,,114040245.7,,45790869.75,150574816.3,54515179581,,15346741670,,6026593750,70436266147,919771356.4,814083378.5,4043901818,198318063.9,5760761905,,,592981162.3,2660946063,,,,,,,,,,888100000,3136258897,94494340402,212042818853,224644467484,,,2387048255,4948667540,407723181733,,24756958695,,,,,8589340019,147084750,101537248148,,,226474285.6,101824755079,,2053462872,,,,,64748333.33,7689154053,,,1331399900,,213235294.1,1555153790410,2435078534,508650000,24474602309,,353251800,,415604424064,467994349041,51321936137,17314191978,,34885378936,,59554854575,,2945704143,6197319929,,523694949.4,3663333333,67978153851,972140557.2,599831979.8,90950278258,,997919320,,868571428.6,,13593932.32,3120833333,2097451694,97587712662,,,,,,118543762797,,,,1698319328,130034605859,445145793586,54878902.42,234769043514,,921600736.3,,,,2948325264,,,833563472.2,,,21840000000,,428821888044,,,,,23517121712,,,,,255340526.7,,229455410.9,2956356984,798329518630,,159594493.5,673383604.2,5874422512,566542872.4,21000586933,8058681060,735267082.3,,5654463586,1568700037597,63287594.51,,5929231415,852485300,5166861068,5784398977,,344159480.3,,28895570009,2881500000,,4687464055,443587301.6,,,1525206981122,176534589.6,,,,148799980,74296512694,,1679333333,1210058396,974650463.9,,359379856.2,877720000,,243724533.2,,41073720164,,41088288556,,,154150000,,,24795499686,70278594.43,,15603032.8,1472036551,,416926303,94360652381,,187300336.4,4388937649,,,110871922980,,23276361042,,74296512694,41088288556,736568861.9,991047619,11966666667,,,884873949.6,,298646047393,1890769326,743700000000,,15108207.43,8427777778,,,,,1984628639611,,,,11334395471,1082857143,1311435800
1966,,29196502382,1399999967,15837474343,,,,,,28630474728,,,,27268451114,10887682273,,165444571.4,18651883472,302925280.8,433889831.6,6439687598,,,340000000,,,44405594.41,134173373.8,669191919.2,27062716578,,132758395.4,,51464435.15,157930041.9,61088384037,,16480058705,,7072641026,76720285970,1024103034,851112662.7,4532660182,220613582.4,5428518519,,,647305630.2,2888647978,,,,,,,,,11931739859,983900000,3039834559,103445325647,209082668906,251157359610,,736243413141,2429309514,5278005612,444863782039,,28721062242,,,,,9208524505,150603925.5,110045852178,,,245849781.7,108572752102,,2126300573,,,44212353.7,,69110000,8591517944,,,1390700000,,228705882.4,1706020623404,2489845017,549950000,26651887067,,368948600,,428157693691,485403736690,55674686052,18833649406,,37786596511,,45865462034,,3104034393,6789938672,,628893310.4,3980000000,73654870011,1096738065,658078969.5,105628070343,,1164519673,,914285714.3,,14469078.18,3928908381,2391486978,107375960282,,,,,,130018786561,,,,1751470588,119507696970,460781210662,56698866.02,260674168776,,968440149.5,,,,2876395613,,,900264583.7,,,24320000000,,443074971269,,,,,24365406864,,,,,266533659.2,,260394792.1,3143538482,876222557410,,164206537.6,702296184.4,6366792664,606671444,22867203317,8696460205,906811943.8,,5863733231,1721724432444,67768132.18,,6561108778,928833000,6113607728,6371459304,,390973233.3,,31737476962,3170500000,,5135387846,465888888.9,,,1672946993808,215659455,,,,124525702.9,62475116958,,1723000000,1246908374,1096432771,,375479849.8,929520000,,257374455.8,,44318284424,,44333570674,,,190350000,,,26971486546,76858462.83,,16443034.56,1342287557,,432794922.5,103298974015,,216136263.9,5279230817,,,121583698791,,24115961726,,62475116958,44333570674,723735635.5,1040952381,14100000000,,,925770308.1,,329277298035,1809183975,815000000000,,16099865.83,8781333333,,,,,2153253681646,,,,12354995063,1264285714,1281749500
1967,,30219070807,1673333418,14430648807,,,,,,24256667553,,,,30397580916,11579431669,,178297142.9,19992040788,306222000.4,450753993.2,7253575399,,,390196078.4,,,47379310.34,155102984.6,755808080.8,30591834054,,139030445.6,,58646443.51,163820538.9,65668655501,,17740013179,,7013196078,72881631327,1082922892,936175404.6,3384063372,237397428.3,5825170438,,,699456618.9,3102515476,,,,,,,,,13059064375,1034800000,3370843066,100235256759,219706224612,272137867229,,792887928969,2553596092,5605484299,483397994999,,31647119228,,,,,9368954010,162625885.9,118972977486,,,271543680.3,113116888211,,1747187539,,,46695363.16,,72317446.93,9275600800,,,1453500000,,250176470.6,1830370832256,2692474989,598100000,26107309424,,369124200,,440430342911,498111835862,56239402899,18930428562,5667756645,38276001459,,50134942203,,3343636773,7555383690,,621225962.2,4030000000,81133120065,1148025407,631755810.7,123781880218,,1232559506,,962857134.3,,16742338.25,4855907142,2441893027,110128541025,,,,,,133444341318,,,,1859465021,127684325888,473180565525,59260814.78,263330066506,,974721762.5,,,,3046339295,,,956436931.1,,,26560000000,,455975749438,,275494520.1,,,26509578269,,,,,282615367.5,,269814968.2,3188945512,927523758486,,180036768.9,665586975.1,5203135937,657171436.7,25087562181,9514496703,841974025.5,,5961418094,1848257549702,107152720.2,,7464510710,1034376400,6204253759,6809134236,,441706910.1,,29965889780,3532700000,,5740241166,492674603.2,,,1795874669800,220984369.1,,,,159560018,68733357253,,1865666667,1246480959,1238043904,25203524.03,348795303,976200000,,271780364.8,,43812635849,,43828162613,,,220700000,,,29275995675,74758504.83,,16632032.81,1580229795,,449826323,100093446645,,231706475.5,5638461442,,,124466899309,,26238181799,,68733357253,43828162613,761981474,1085714286,15644444444,,,967647058.8,,332315363396,1597721080,861700000000,,15835177.93,9250000000,,,,,2292149255249,,,,13777394495,1368000000,1397002000
1968,,32927067005,1373333367,14884699923,,,,34516200668,,26436857247,,,,32665472057,12440625313,,183200000,21376353113,326323097.4,460442678.2,7483685474,,,444901960.8,,,44910179.64,150000000,857912457.9,33875881876,,160819286.6,,66248256.62,191767437,71829810520,,18942729779,,7167086957,70846535056,1281281246,1046191192,3909780539,251247458,5960212869,,,773841494.3,3083590687,,,,,,,,,13505573867,1079100000,3852115817,101170435002,237831361268,299849805338,,829410883159,2582180794,5932242991,518969548004,,31475548481,,,,39232496512,8823033880,166952937.1,129785441507,,,294468564.5,107759910068,,1666910166,,,41160658.57,,67514285.71,10090675903,,,1610500000,,229750000,1984910923901,2716964388,646800000,27626507402,,367968800,,465423028985,526010580915,59113536030,19982392386,7076465295,40137864806,,53085455871,,3278584478,8623172960,2896947634,474399471.6,4619000000,87942231678,1083883355,561187342.5,146601072686,,1353295458,,1065714249,,14600000,6119284294,2663119574,118974491356,,,,,,143726771478,,,,1801344538,137437481278,499840627475,61444771.1,268810531846,,1066447131,,,,3271415868,,,1031669636,,44460879242,29360000000,,481774912586,,343771964.7,,,29212942509,,,,,311396000.3,,245169806.8,3330393310,1014479810520,,215507164,641214210.7,5200895982,695899980.4,27817605743,10159934137,772228643.4,,5180597621,2004896855150,188864890.8,,8041999160,1112791100,5736083835,7591603053,,485160824.3,,31584006873,3941700000,,6354262628,517650793.7,,,1947944605590,259590076.3,,,,172200018,72039818017,4187777711,1947333333,1309384830,1425715406,28084252.76,329860091.9,1009760100,,286718279.7,,46849051981,,46863783050,,,241350000,,,31066819929,79798404.03,,16074027.35,1753746370,,453980096.7,101027301823,,241956910.7,6081009428,,,133896043277,,28913869872,,72039818017,46863783050,758899950,1214666667,17500000000,,,1037815126,,347417246866,1593675330,942500000000,,15350000,10034444444,,,,,2474321014510,,,,14894594048,1605857143,1479599900
1969,,37801761961,1408888922,16887028428,,,,37899006230,,31256284544,,,,36628961810,13582798556,,190205714.3,23710735895,330748211.5,478298597.6,8471006101,,,528137254.9,,,47305389.22,164900000,929629629.6,37458898244,,161211289.7,,77356914.08,188039191.3,79148411662,,20524886616,,8377093023,79705906247,1361360157,1100551379,5032434970,265040036.1,6450175214,,,853630203.8,3359706536,,,,,,,,,15414902267,1230500000,4257218772,113603730632,265668136608,345400327951,,917382868503,3112166848,6524455206,579308193067,,36038711600,,,,44066949663,10070766721,182182067.7,141903068680,,,318124701,116464702803,,1962051319,,,45168722.7,,67225714.29,11615657031,,,1715399900,,249300000,2183813010131,3189740055,668000050,30698345468,,391820400,,520014431081,588455372985,66697323696,22860731891,8337423313,44936245021,,58447995017,,3787077344,9743089607,3008120975,414709311.4,5329333333,97085082807,1191287652,698963875.7,172204199481,,1458379415,,978873232.4,,15850000,7678581344,2769532344,133625574818,,,,,,160953009422,,,,1965546218,152857217106,559758811876,65966680.67,300399233074,,1234878981,,,,3651615453,,,1056391055,,49468617828,32480000000,,538945116280,,339913833.1,,,32656365383,,,,,295062138.1,,265810632.4,3664575983,1099213311662,,263108834.5,625867922.7,6634187316,747971449.6,34035946604,11063065083,788641965.4,,5761588762,2205422943619,239980801.5,,8683116338,1221305700,6420909790,8408229699,,551237316.6,,35771083372,4460700000,,6969025826,556293650.8,,,2141851711238,242943776.9,,,,188700037,79195490145,4485777644,2144333333,1245234807,1659904613,28606411.4,408690163.5,1049400000,,306357284.6,,53573060754,,53587795425,,,259650000,,,33738102482,105417891.6,,16452027.99,2245011572,,471635620.9,113443007165,,267732446.4,6695336567,,,149867494590,,32322040099,,79195490145,53587795425,779200000,1289904762,19466666667,,,1169047619,,389928731447,2004435484,1019900000000,,16650000,10285111111,,,,,2729835187087,,,,16780393295,1965714286,1747998800
