Country Name,Indicator,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Japan,Kazakhstan,Kenya,Kyrgyz Republic,Cambodia,Kiribati,St. Kitts and Nevis,"Korea, Rep.",Kuwait,Latin America & Caribbean (excluding high income),Lao PDR,Lebanon,Liberia,Libya,St. Lucia,Latin America & Caribbean,Least developed countries: UN classification,Low income,Liechtenstein,Sri Lanka,Lower middle income,Low & middle income,Lesotho,Late-demographic dividend,Lithuania,Luxembourg,Latvia,"Macao SAR, China",St. Martin (French part),Morocco,Monaco,Moldova,Madagascar,Maldives,Middle East & North Africa,Mexico,Marshall Islands,Middle income,North Macedonia,Mali,Malta,Myanmar,Middle East & North Africa (excluding high income),Montenegro,Mongolia,Northern Mariana Islands,Mozambique,Mauritania,Mauritius,Malawi,Malaysia,North America,Namibia,New Caledonia,Niger,Nigeria,Nicaragua,Netherlands,Norway,Nepal,Nauru,New Zealand,OECD members,Oman,Other small states,Pakistan,Panama,Peru,Philippines,Palau,Papua New Guinea,Poland,Pre-demographic dividend,Puerto Rico,"Korea, Dem. People's Rep.",Portugal,Paraguay,West Bank and Gaza,Pacific island small states,Post-demographic dividend,French Polynesia,Qatar,Romania,Russian Federation,Rwanda,South Asia,Saudi Arabia,Sudan,Senegal,Singapore,Solomon Islands,Sierra Leone,El Salvador,San Marino,Somalia,Serbia,Sub-Saharan Africa (excluding high income),South Sudan,Sub-Saharan Africa,Small states,Sao Tome and Principe,Suriname,Slovak Republic,Slovenia,Sweden,Eswatini,Sint Maarten (Dutch part),Seychelles,Syrian Arab Republic,Turks and Caicos Islands,Chad,East Asia & Pacific (IDA & IBRD countries),Europe & Central Asia (IDA & IBRD countries),Togo,Thailand,Tajikistan,Turkmenistan,Latin America & the Caribbean (IDA & IBRD countries),Timor-Leste,Middle East & North Africa (IDA & IBRD countries),Tonga,South Asia (IDA & IBRD),Sub-Saharan Africa (IDA & IBRD countries),Trinidad and Tobago,Tunisia,Turkey,Tuvalu,Tanzania,Uganda,Ukraine,Upper middle income,Uruguay,United States,Uzbekistan,St. Vincent and the Grenadines,"Venezuela, RB",British Virgin Islands,Virgin Islands (U.S.),Vietnam,Vanuatu,World,Samoa,Kosovo,"Yemen, Rep.",South Africa,Zambia,Zimbabwe
Aruba,Population,ABW,54208,55434,56234,56699,57029,57357,57702,58044,58377,58734,59070,59442,59849,60236,60527,60653,60586,60366,60102,59972,60097,60561,61341,62213,62826,63024,62645,61838,61072,61033,62152,64623,68240,72495,76705,80324,83211,85450,87280,89009,90866,92892,94992,97016,98744,100028,100830,101226,101362,101452,101665,102050,102565,103165,103776,104339,104865,105361,105846,106310,106766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1105385973764,,7265315332,,,38715554.54,68459259.26,65398646758,28638550499,655342547364,,,,,170370370.4,780427006343,110568180760,,534701915.6,4024621900,698743246287,2418464373395,431561376.5,1281360071207,,6232005794,,,,21728770055,1378130996,,5201818349,42463576.16,591580667587,205139086957,,2346435466492,,1759690812,1250242108,,268574438753,,,,,1047924649,1131788192,1237655461,24488033442,3131774126516,2422096075,1182457143,2508524186,64201788123,2189347368,195152092662,64439382896,1945916583,,23244547385,8841775017486,5981760278,37417416130,23654444444,4614086400,18134029180,32450541843,,2545983008,,220975853070,14436100000,,32896519824,4448087302,,1962197369,8529594086857,1362151524,7829094613,,,1254765350,236032168287,164541658299,7459833333,4510107330,11896256783,183176669.1,1100685845,3573959900,,603592656.8,,266819239071,,266963803815,52919788028,,795000000,,,142092068281,542000513.6,,147357222.8,13062421025,,1033002402,373919971214,,1136408814,32353440727,,,740181622738,,265824860700,53260077.43,236032168287,266963803815,6235833333,8744134354,68789289566,,,1244610000,,1650573802774,10163020116,2857307000000,,82340339.63,59116511628,,,,121185497.6,11288392765105,,,,82980483388,3829500000,6678868200
Africa Eastern and Southern,Population,AFE,130836765,134159786,137614644,141202036,144920186,148769974,152752671,156876454,161156430,165611760,170257189,175100167,180141148,185376550,190800796,196409937,202205766,208193045,214368393,220740384,227305945,234058404,240999134,248146290,255530063,263161451,271050065,279184536,287524258,296024639,304648010,313394693,322270073,331265579,340379934,349605660,358953595,368440591,378098393,387977990,398113044,408522129,419223717,430246635,441630149,453404076,465581372,478166911,491173160,504604672,518468229,532760424,547482863,562601578,578075373,593871847,609978946,626392880,643090131,660046272,677243299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1218988935130,,6854491454,,,41369800.05,80888888.89,72933350954,25056672166,758245679410,,,,,194444444.4,899940828428,111995694697,73503645321,511658690.6,4415844156,840698555835,2726830866875,434188034.2,1358265018317,,5231808996,,,,17788171722,1205166025,,4759333970,44781456.95,611097674306,263959336735,31020000,2653176657535,,1538972158,1243469361,,260813952222,,2310099100,,,1105495368,1142393555,1237685692,25004557094,3513994963657,2249854740,972563810.2,2170893039,164475209515,2448290110,164134217080,63596654761,2275583317,,24417617184,9000751615488,7259120151,37615306485,28100606061,5222421500,21649137620,35646416953,,2498068351,,309391456647,15955700000,,31977276873,5624515873,,2021548448,8625938140007,1279972866,8661263764,,,1407062608,250213642683,184291888767,10016500000,4095892072,14175228844,194208228,1114830472,3437200200,,699112266.8,,371937267417,,372085743173,54682798251,,889000000,,,129686938223,570761166.8,,154902869,15518199247,,876937559.7,399009255116,,962347001,34846107862,,,857201894716,,258143823516,62242013.33,250213642683,372085743173,6992083333,8428513568,71040020140,,,1337300000,,1795630669768,11048335541,3207041000000,,102086539.3,66327441860,,,,113781795.8,11684995250315,,,,85454420500,3872666667,8011373800
Afghanistan,Population,AFG,8996967,9169406,9351442,9543200,9744772,9956318,10174840,10399936,10637064,10893772,11173654,11475450,11791222,12108963,12412960,12689164,12943093,13171294,13341199,13411060,13356500,13171679,12882518,12537732,12204306,11938204,11736177,11604538,11618008,11868873,12412311,13299016,14485543,15816601,17075728,18110662,18853444,19357126,19737770,20170847,20779957,21606992,22600774,23680871,24726689,25654274,26433058,27100542,27722281,28394806,29185511,30117411,31161378,32269592,33370804,34413603,35383028,36296111,37171922,38041757,38928341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1134518001885,,6431579357,,,40572066.13,86022222.22,78358866335,21577977770,705601393159,,,,,183333333.3,839557761411,111552080214,75875606793,522090331.5,4768765017,865373581000,2695825254701,348746822.6,1389686527309,,4764549709,,1142503775,,17692341358,1143229072,,4784977349,47935843.79,610209847566,184609157801,34918000,2619280057102,,1333754034,1234518125,,299346635223,,2552401933,,,1108776010,1078408830,1180104216,26804401816,3658081025119,2118741469,904619629.8,2017611927,142769363313,2465165180,158479527936,62647195538,2395429852,,24164603059,8866054187536,7554719456,35579123347,30725971564,5769767900,21793496819,37140163934,,2368584970,,290496460689,16764200000,,30527754793,5419411765,,1973921703,8588088235447,1286462643,7596703214,,,1407242640,258869184633,153238991869,9240000000,4013950868,16084252378,192565132.3,1295361886,3399189100,,774419569.7,,342314434099,,342456585496,54423767186,,915000000,,,114380557731,537575980.8,,147912069.8,16298905397,,834369860.4,418757477177,,821651918.7,36589797857,,,795280130646,,296282021398,62068161.07,258869184633,342456585496,8140416667,8133401050,64546332581,,,2177500000,,1723063668773,9178802163,3343789000000,,113759203.3,67736744186,,,,114501912.5,11573317052021,121221651.6,,,78423059790,3994777778,8539700700
Africa Western and Central,Population,AFW,96396419,98407221,100506960,102691339,104953470,107289875,109701811,112195950,114781116,117468741,120269044,123184308,126218502,129384954,132699537,136173544,139813171,143615715,147571063,151663853,155882270,160223588,164689764,169279422,173991851,178826553,183785612,188868567,194070079,199382783,204803865,210332267,215976366,221754806,227692136,233807627,240114179,246613750,253302310,260170348,267214544,274433894,281842480,289469530,297353098,305520588,313985474,322741656,331772330,341050537,350556886,360285439,370243017,380437896,390882979,401586651,412551299,423769930,435229381,446911598,458803476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1243323592059,,5979198464,,,37837837.84,86874074.07,87760360941,20869434305,615396486386,,,,,197037037,740054418653,105001369815,73340986737,524034109.9,5167913302,855544719096,2607437442247,386699308.9,1284088534385,,4683697830,,1133008226,,16251460689,1092551781,,4686457013,57829787.23,617853543848,156159198585,41749000,2533456427664,,1297765449,1165771369,,336721842120,,2725736633,,,1165170626,1090276947,1223186840,30346788438,3975475111782,2297400688,823832940.5,1803099732,97094911791,2743341724,153445465987,61627240831,2447174803,,24309279706,9156103232696,7932541691,33610515186,28691889764,5923755900,17345624454,33212180658,,2562492525,,231652195295,17276600000,,27239650742,5673248726,,1877389501,8912564119238,1335895286,6467582308,,,1479688126,274032732755,129171602025,8230153846,3569356462,17784112150,181090022.6,995104305.3,3506347800,,733901365.9,,298186450788,,298328662114,52651917304,,883500000,,,105014356667,555336145.8,,146712850.5,17589184557,,832415806,439400178540,,765746590.6,40042826244,,,694238833604,,333274593040,60863963.96,274032732755,298328662114,7763750000,8350176783,61678280115,,,2240333333,,1640642069608,5102281256,3634038000000,,122255349.6,67556279070,,,,117389554.2,11804680452568,111862823.6,,,87415851376,3216307692,7764067000
Angola,Population,AGO,5454938,5531451,5608499,5679409,5734995,5770573,5781305,5774440,5771973,5803677,5890360,6041239,6248965,6497283,6761623,7023994,7279630,7533814,7790774,8058112,8341290,8640478,8952971,9278104,9614756,9961993,10320116,10689247,11068051,11454784,11848385,12248901,12657361,13075044,13503753,13945205,14400722,14871572,15359600,15866871,16395477,16945753,17519418,18121477,18758138,19433604,20149905,20905360,21695636,22514275,23356247,24220660,25107925,26015786,26941773,27884380,28842482,29816769,30809787,31825299,32866268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1318381627004,,6191437070,,,41246160.6,98603703.7,97510235986,21697297872,628791407312,1757142806,,,,251481481.5,747287229484,104092333804,70992114120,502617355.4,6043474843,844967750883,2645720261517,333158476.2,1352015334612,,4594891790,,1304353237,,14824728528,1037314956,,3905938481,109503546.1,629372797296,184261495828,45144000,2574634599866,,1232932008,1101828569,,355926997078,,2098734600,,,1074373735,1040557089,1208008985,33943505718,4393971258072,1951229618,796018978.5,1461243212,73484359521,3105517091,143912664148,62057955033,2581207388,,21665975319,9575623275201,8821366532,33852774377,31151825467,6183387100,17599660054,31408492877,,2552526263,,211326798465,19162600000,,25217969050,4502462807,,1978084001,9314156075872,1378991403,6704395824,,,1587412957,272757831562,119624918956,9701357143,3485165161,19749361098,181361388.1,1087471862,3661683400,,788307213.4,,260512476396,,260660525691,52168627365,,864000000,,,109201362581,494475699.9,,151313242,17503082982,,919103735.3,476921953237,,718148959.6,41797592963,,,697299138223,,352283131846,64248354.54,272757831562,260660525691,7757083333,8254891864,59989909458,,,3615647477,,1701620236470,4850241442,4037613000000,,135024987.8,60010285714,,,,144482515.4,12242596317443,109200934.3,,,77344092907,2739444444,6352125900
Albania,Population,ALB,1608800,1659800,1711319,1762621,1814135,1864791,1914573,1965598,2022272,2081695,2135479,2187853,2243126,2296752,2350124,2404831,2458526,2513546,2566266,2617832,2671997,2726056,2784278,2843960,2904429,2964762,3022635,3083605,3142336,3227943,3286542,3266790,3247039,3227287,3207536,3187784,3168033,3148281,3128530,3108778,3089027,3060173,3051010,3039616,3026939,3011487,2992547,2970017,2947314,2927519,2913021,2905195,2900401,2895092,2889104,2880703,2876101,2873457,2866376,2854191,2837743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1398892744821,,6135034338,,,32125148.4,111007407.4,101296177099,21442619681,650107133010,2366666616,,,,284444444.4,769755073623,115333656420,74219017433,529078995.6,5978460972,900243952106,2790012597473,268626912.5,1445294537915,,4738559685,,1362079312,,14991283216,1082851076,,3802557895,127154929.6,642251107912,195219789801,43879000,2715798197856,,1392195933,1117835286,,384993915722,,2186505475,,,1009723326,1076121094,1131347798,31200161095,4704774999483,1608219310,854823821.7,1440581534,73745821156,2683816289,143845822718,65416879914,2619913956,,24679795396,10085198444239,10005500579,32170814791,31144920844,6541517100,16548827018,30734335449,,2423373088,,218679316284,20289200000,,27115807742,3282449236,,1873088828,9807769012620,1507230779,6153296456,,,1715625839,296598984609,103897892811,12403733333,3818944603,19156532746,165451107.5,856890498.6,3800368600,,876404617.7,,247165588094,,247332111051,50249001690,,873000000,,,114123537582,360075380.3,,168887539.1,16403544511,,1033069710,522670941734,,762359722.7,38900692712,,,719314861869,,381052472799,60058663.31,296598984609,247332111051,7375918367,8410185740,67234948265,,,3519666339,,1782370510777,4732017873,4338979000000,,145641705.2,61965466667,,,14094687821,131856420.7,12863348061494,95572172.98,,,59082638804,2281258065,5637259300
Andorra,Population,AND,13410,14378,15379,16407,17466,18542,19646,20760,21886,23053,24275,25571,26885,28232,29515,30705,31782,32769,33744,34825,36063,37498,39115,40854,42706,44593,46520,48459,50433,52452,54508,56666,58882,60974,62676,63860,64363,64318,64140,64368,65390,67344,70048,73180,76250,78871,80995,82682,83860,84461,84454,83748,82427,80770,79213,77993,77295,76997,77008,77146,77265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2078953333674,,7239126717,,,32085561.5,130685185.2,116836802995,17903681693,655461174268,1776842041,,,,340000000,775394996986,125079097288,79211979936,779365167.6,6405210564,957311939256,2892660321514,318862888.4,1537128067725,,6921264223,,1532097040,,19462175322,1515209588,,4347989799,141902097.9,651334689124,134550096437,55989000,2813108504829,,1852163475,1435079200,,425614541920,,2896178867,,,1186628779,1462900255,1183654828,27734562640,4958242427344,1809073862,1201262518,1904097020,54805852581,2885710609,200862095701,78693253276,2850784523,,30604668357,12215357035039,7323822251,32577268922,31899070056,6797834200,15244232958,29868339081,,2648033766,,212315946496,22009300000,,38745901354,3723993943,,2042954224,11983876900040,2301514717,5053021951,,,1944711061,314128086827,86962013011,15769062500,5392093508,18586746057,147573930.5,490181456.6,3771663200,,930318705.3,,254669126076,,254875518468,49319188931,,891000000,,,150498057724,449146608.3,,207850623.6,13293209270,,1067828247,521195760767,,1060911735,43096746122,,,721612935950,,421257238192,68195855.61,314128086827,254875518468,4794444444,9018136020,75728009963,,,3923232122,,1810874625609,5880112788,4579631000000,,160846656.7,60391604938,,,26336616250,126498935.3,15201227787626,100947848.6,,,67521602553,1661948718,6217523700
Arab World,Population,ARB,92197715,94724540,97334438,100034191,102832792,105736428,108758634,111899335,115136161,118437193,121785630,125164720,128598743,132161302,135952270,140040580,144453278,149161836,154111160,159218539,164420771,169698978,175061794,180505967,186035280,191650328,197338140,203084958,208889669,214753965,222653371,228731671,232956364,239243294,245449429,253107302,259000937,264822167,270575777,276393809,282344141,288432153,294665202,301113869,307862846,314965776,322452764,330290752,338395936,346629179,354890097,363156846,371437642,379696477,387899835,396028301,404042892,411942825,419851989,427870273,436080728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2532808573157,,7970820531,,,33608738.27,147748148.1,147948259723,22365734482,703400344295,1087273104,,,,375555555.6,818560937036,140068022539,85478830889,1052843348,6682167120,937264670739,2980296026498,402774852.7,1620211774520,,8614215019,,1957726785,,21765261042,1839095595,,3212900561,141268980.5,588239980284,147540738282,62983000,2893751921434,,2090629723,1751247763,,361254513003,,3020611600,,,1344665271,1880852914,1183094128,32181695507,5287828242049,2300105497,1488113532,2233005823,52676041931,3851213728,245046310923,94230055659,2957255380,,40376354070,14146674503233,7811183095,38664087523,33351529275,6827665300,20702298397,33195933430,,3143848331,,234608087735,24025800000,,48182925857,3971044724,,1985438460,13894751467978,2543199148,5446428681,38413636364,,2157434025,348793922922,85695941760,20155555556,6487352283,20919215578,155243847.7,701307602.3,3958045800,,1009792724,,289942288387,,290190156457,56334435919,,980000000,,,183009638351,584135559.9,,249267039.8,11356215713,,1163426851,514745443584,,1249099130,50535438696,,2331358820,761121046319,,357556106390,81667133.45,348793922922,290190156457,4797777778,9696271268,87172789528,,,6269511615,64087795107,1930477671426,7367494080,4855215000000,,175580647.4,48029034483,,,36658108850,139464173.5,17292616389341,111713922.1,,,88573697223,2269894737,6741215100
United Arab Emirates,Population,ARE,92417,100801,112112,125130,138049,149855,159979,169768,182620,203103,234512,277463,330968,394625,467457,548295,637926,735347,835498,931752,1019507,1096602,1164816,1228457,1293970,1366165,1446386,1533526,1627068,1725676,1828437,1937159,2052892,2173135,2294377,2415099,2539121,2671361,2813214,2966029,3134067,3302722,3478769,3711931,4068577,4588222,5300172,6168846,7089486,7917368,8549998,8946778,9141598,9197908,9214182,9262896,9360975,9487206,9630966,9770526,9890400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3071683013179,,8355380879,,,42972107.2,172692592.6,199590823957,20692472760,788063676124,598961269.3,3313540068,,,429629629.6,922939137472,145193564702,83611878279,1161757671,6978371581,955159946361,3190726805531,470389179.7,1784898222634,,9750161273,,2288759545,,25705296184,2000674667,,3189456961,168610478.4,573790678207,181611549976,70688000,3107014265650,,2169040742,2019474244,,345607797533,,3204461567,,,1414951854,2134517068,1379924257,35271880250,5745207451214,2495059627,2072735787,2280356338,49648470440,2630904262,261910508418,101900260856,3487009748,,45176811594,15945568461313,8386215865,43438894890,38472742808,5902783400,15439408447,37885440419,,3655979702,,238070813072,26385800000,,56347250696,4255683528,,2031694929,15652418715341,2687472830,6038187033,40809523810,554713455150,2395493878,374789860688,88256162069,15399166667,6418419798,25371462488,176710684.3,1055083945,4189880000,,1038291284,,297698092075,,297981061498,62038032551,,1161000000,,,206986674501,692016714.3,,283828769,10577042355,,1482597299,570876791478,968922185616,1378847487,61667199835,,3010982414,860153018090,,342069576922,106657267.4,374789860688,297981061498,4496852073,10096292842,90852814005,,5100405772,6508931652,74703706817,2148508472110,8213515459,5236438000000,,200726712.6,60226413793,,,25423812649,158351368.4,19340753933291,133016065.4,,,95176640968,3713614458,7814784100
Argentina,Population,ARG,20481781,20817270,21153042,21488916,21824427,22159644,22494031,22828872,23168268,23517613,23880564,24259564,24653172,25056475,25462305,25865775,26264681,26661397,27061041,27471046,27896532,28338514,28794550,29262049,29737097,30216284,30698964,31184411,31668939,32148137,32618648,33079002,33529320,33970103,34402669,34828168,35246376,35657438,36063451,36467218,36870796,37275644,37681743,38087866,38491970,38892924,39289876,39684303,40080159,40482786,40788453,41261490,41733271,42202935,42669500,43131966,43590368,44044811,44494502,44938712,45376763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3054914166263,,8283114648,,,41119721.65,192518518.5,246927292765,24312117767,882731687107,714046821.1,2717998688,,,486666666.7,1007516225938,148441983527,82247876418,1120000917,6987267684,954620628861,3310675462586,495404888.1,1891338448967,,10391504914,,2705659767,,26314220188,2010116851,,3175638333,189535398.2,592957075142,221400669714,72798000,3227981323261,,2181821902,2118574772,,344744370356,,3576966800,,,1450647019,2181930255,1590215583,38848567631,6208137243275,2535113565,2185072798,2179567108,44003061108,1013184746,258336705809,102633789558,3525228153,,43920222525,16686798358564,9372171651,45483693064,40171018229,5918469800,22499559086,42575183906,,3546460177,,233488467586,28161200000,,60594092182,4757732200,,2100010347,16347735471629,2636461517,6487912088,42105263158,506500173960,2405021933,378225287813,95344352824,15291507937,6366039353,30465364739,172684458.4,932974411.9,4372215300,,1092392963,,296075374925,,296379424422,64542015002,,542600000,,,217948315625,696915430.7,,304832867.4,9853396226,,1433686310,616975622649,940677348421,1352949663,72250877410,,3006988217,942513480793,,341214989232,106344855,378225287813,296379424422,4323058824,10102075213,107143348667,,4420168102,5276480986,82709199437,2273167112461,8438951476,5641580000000,,214745002.2,43526253602,,,6293304975,154013202.1,20190365474870,122888609.7,,,99030856825,3998637681,8286322700
